标题,日期时间,日期
十大博客看后市：2600点下方将现低吸机会,(12月07日 15:24),12月07日
杨德龙：跨年度行情能否出现,(12月07日 12:06),12月07日
午后名博看市：2600点得失至关重要,(12月07日 11:26),12月07日
李大霄：2449点成为A股历史第五个底部正变为事实,(12月07日 09:47),12月07日
杨德龙：2019年可能会出现“美股向下、A股向上”,(12月07日 09:42),12月07日
2018中国股民图鉴：有房有车中年已婚男 别名韭菜,(12月07日 08:28),12月07日
并购重组新周期提前预警：严控高估值泡沫,(12月07日 07:43),12月07日
兰波：业绩承诺不达标 就该大股东负责,(12月07日 06:36),12月07日
谨防纾困资金流入“僵尸企业”,(12月07日 01:44),12月07日
评论：更多指数公司相中A股 得益于制度日益完善,(12月07日 01:43),12月07日
券商上报科创板初选名单 静候沪伦通业务资格,(12月07日 01:37),12月07日
并购重组审核量过会率双升 但审核标准并未降低,(12月07日 00:31),12月07日
长城基金向威达：A股将维持震荡反弹格局,(12月07日 00:15),12月07日
十大博客看后市：周五大盘面临重大考验,(12月06日 15:58),12月06日
高通总裁：刚听说华为CFO被暂扣 希望帮中国伙伴发展,(12月06日 11:47),12月06日
午后名博看市：指数回调 把握超跌股机会,(12月06日 11:33),12月06日
胡锡进:美国在市场上打不垮华为 请不要采取流氓手段,(12月06日 11:21),12月06日
小市值壳资源走俏：买方按图寻宝 卖方坐地起价,(12月06日 10:37),12月06日
科创板的“春雷”响起 股权投资这个冬天不会冷了？,(12月06日 08:01),12月06日
中国证券报：强化商誉监管需破除三大顽疾,(12月06日 02:51),12月06日
“壳式”堰塞湖 股市另类奇观是怎样炼成的,(12月06日 02:29),12月06日
2019年A股市场“不差钱”,(12月06日 00:43),12月06日
证券日报：如何看待人民币汇率的“弹簧式”升值？,(12月06日 00:43),12月06日
250亿元民企资金涌入 市场化债转股提速,(12月06日 00:34),12月06日
十大博客看后市：耐心等待阶段性低吸机会,(12月05日 15:09),12月05日
德龙密语：跨年度行情能否出现？,(12月05日 13:32),12月05日
李大霄：2449点成为中国股市第五个大底 越来越扎实,(12月05日 11:53),12月05日
午后名博看市：探底回升关注生命线得失,(12月05日 11:28),12月05日
李大霄：A股步入相对顽强的新阶段 无需恐慌,(12月05日 09:39),12月05日
罕见借壳模式催生连续涨停 买壳+吸并为谁辛苦为谁甜,(12月05日 09:24),12月05日
沪伦通“通车”倒计时 中国金融市场全球化再提速,(12月05日 07:06),12月05日
曹中铭：有了多元调解机制 投资人维权将大为便捷,(12月05日 06:53),12月05日
熊锦秋：吁请将“最小报价单位”与股价挂钩,(12月05日 06:53),12月05日
狂涨七倍次新股 下调最高已超67%,(12月05日 02:55),12月05日
壳掮客2018年惊诧论:成长股变优质壳 ST股门前车马稀,(12月05日 01:52),12月05日
证券日报:财税货币股市政策需完善 才能形成稳定预期,(12月05日 01:49),12月05日
科创板的推出将加速科技创新龙头成型,(12月05日 00:15),12月05日
李大霄：八理由支撑2449点成为史上第五个大底,(12月04日 17:23),12月04日
十大博客看后市：个股又进入一轮拉升阶段,(12月04日 15:27),12月04日
李大霄：政策底和市场底的同时出现 招商魔咒将失效,(12月04日 15:13),12月04日
午后名博看市：市场缺乏合力攻击板块,(12月04日 11:38),12月04日
盘和林：谁能上科创板？要符合三个要求,(12月04日 07:41),12月04日
董登新：科创板+注册制 将是A股的一场革命,(12月04日 07:40),12月04日
多重利好推升交易热情 12月A股开门红,(12月04日 03:28),12月04日
中美经贸达成共识 亚太股市喜气洋洋,(12月04日 02:52),12月04日
股指期货有望恢复常态 T+0交易也应尽快恢复,(12月04日 02:30),12月04日
股指期货常态化为外资入市提供合适的风险管理工具,(12月04日 02:09),12月04日
个税冲击波能影响到A股吗？,(12月04日 02:09),12月04日
摩根大通TMT银行家：对明年中国科技市场谨慎乐观,(12月04日 01:21),12月04日
机构：科创板料加速保荐机构业务模式转变,(12月04日 00:37),12月04日
“纾困+减持”惹争议 配套监管待完善,(12月04日 00:35),12月04日
十大博客看后市：缺口三天不回补 将准备向上突破,(12月03日 15:28),12月03日
午后名博看市：股指上涨能否维持 关注两大条件,(12月03日 11:25),12月03日
国信:等待盈利拐点 博弈政策放松的金融地产科创板等,(12月03日 10:02),12月03日
李大霄：救市政策逐项落实 中国股市春天终于盼来,(12月03日 09:37),12月03日
A股控制权变更创5年新高 谁在出手谁在接盘？,(12月03日 08:18),12月03日
“中国版纳斯达克”喊了多年 这届科创板行吗？,(12月03日 07:06),12月03日
告别“滚动熊市年”摩根士丹利认为明年是转折点,(12月03日 06:00),12月03日
郭施亮：A股加速国际化有哪些积极影响,(12月03日 03:55),12月03日
融通基金林清源：商誉减值潮是成长股的“成人礼”,(12月03日 03:34),12月03日
博时基金李权胜：市场情绪低落时恰是布局好时机,(12月03日 03:34),12月03日
银泰证券陈建华：积极因素提振两市运行,(12月03日 01:01),12月03日
西部证券王梁幸：A股延续震荡筑底走势,(12月03日 01:01),12月03日
股指期货迎来2017年以来第三次松绑 资金有望回流A股,(12月03日 00:10),12月03日
50万元就能达到最低门槛 散户同样应该用好股指期货,(12月03日 00:01),12月03日
下周影响市场重要资讯前瞻,(12月02日 14:59),12月02日
水皮：政策底不是市场底 未来有行情但高度有限,(12月01日 07:36),12月01日
兰桂坊夜店股上市将掀起什么浪花？,(12月01日 04:22),12月01日
陈嘉禾：熊市中抄底 找准“好而且便宜”的东西,(12月01日 04:22),12月01日
闻韶 ：加大商誉减值信披只是第一步,(12月01日 04:22),12月01日
姚永源：股市机会大于风险 周期股将引领反弹,(12月01日 00:45),12月01日
股票期权有望扩容 优化A股投资者结构,(12月01日 00:45),12月01日
管清友：经济发展前景可期 长期价值投资时代来临,(12月01日 00:07),12月01日
十大博客看后市：大盘神奇逆转暗示将迎来开门红,(11月30日 15:27),11月30日
白马股众生相：市盈率平均下降四成 仅9股逆市走强,(11月30日 14:15),11月30日
2019股市假设推背图:第6个五年周期结束后或迎新牛市,(11月30日 11:36),11月30日
午后名博看市：等待再次下挫后的低吸良机,(11月30日 11:36),11月30日
西南证券：2019沪指或到3200点 创业板望回归1700点,(11月30日 11:29),11月30日
海通姜超评PMI数据：供需双弱延续 通缩风险再现,(11月30日 10:09),11月30日
李大霄：撤掉创业板提法不靠谱 将与科创板一同发展,(11月30日 09:53),11月30日
国资接盘民营企业 后续要在整合上下功夫,(11月30日 07:50),11月30日
章玉贵：资本与创新高效对接 上海这一步怎么跨？,(11月30日 07:47),11月30日
被陈羽凡丑闻殃及 明星投资企业成也萧何败也萧何,(11月30日 07:46),11月30日
评论：科创板不是创业板的终结者,(11月30日 07:13),11月30日
评论：不应以传统产业政策刺激高科技企业成长,(11月30日 06:52),11月30日
美联储会议纪要:预计将很快加息 将为政策留灵活空间,(11月30日 04:09),11月30日
3大股指昨全线走弱 逾七成私募认为12月将有反弹行情,(11月30日 01:01),11月30日
纾困基金运作方略：究竟该救谁？,(11月30日 00:04),11月30日
专家预计明年一季度定向降准概率大,(11月30日 00:04),11月30日
评论：优化营商环境促进股市振兴,(11月30日 00:04),11月30日
低股价并不等于具备投资价值 莫把中弘退当长油,(11月30日 00:01),11月30日
十大博客看后市：大盘底部将不断抬高,(11月29日 15:12),11月29日
三大股指涨幅收窄 机构：缩量横盘格局仍未改变,(11月29日 11:45),11月29日
午后名博看市：缺口回补完毕午后将继续上涨,(11月29日 11:17),11月29日
李大霄：一系列利好推动下 政策底与市场底皆已出现,(11月29日 09:30),11月29日
李大霄：职业年金入市步伐加速 属重大利好消息,(11月29日 09:13),11月29日
皮海洲:强制复牌维护市场流动性 无法决定复牌后涨跌,(11月29日 08:13),11月29日
三季度全A股商誉达1.44万亿 谁会踩到商誉这颗雷,(11月29日 08:00),11月29日
要尊重市场规则 科创板“选秀”应淡化行政化色彩,(11月29日 02:30),11月29日
经参评论:科创板打开资本市场增量改革空间,(11月29日 00:41),11月29日
近7成上市公司年报预喜 布局年报行情应小心“地雷”,(11月29日 00:29),11月29日
预计将会有新资金流入 降准预期下的小盘股投资机会,(11月29日 00:29),11月29日
过度炒作即是风险 投资者应规避市北高新式追高悲剧,(11月29日 00:29),11月29日
专家：科创板候选公司需具备四大特征,(11月29日 00:23),11月29日
证券日报：金融监管“增强版”提升服务实体经济能力,(11月29日 00:23),11月29日
大摩华鑫基金王大鹏：未来2-3年股票市场并不悲观,(11月29日 00:04),11月29日
中国证券报：资本市场基础制度建设将提速,(11月29日 00:04),11月29日
十大博客看后市：暴拉指数 三大投资主线未变,(11月28日 15:48),11月28日
李大霄:上市公司回购行为属重大利好 将推动市场回稳,(11月28日 14:48),11月28日
午后名博看市：探底回升下两点关注,(11月28日 11:28),11月28日
李小加：上海推出科创板有“一石三鸟”的效果,(11月28日 10:00),11月28日
诺德基金郝旭东:2019赚钱机会多 锚定医药与龙头地产,(11月28日 08:06),11月28日
汇添富基金过蓓蓓：2019年银行依然是首选投资标的,(11月28日 07:58),11月28日
分析人士：高送转、“滥送转”都需强化规范,(11月28日 07:22),11月28日
市场学会理事：向长效共赢的市场机制再跨一大步,(11月28日 07:22),11月28日
经济研究者：所有重大重组事项均不停牌 如何？,(11月28日 07:22),11月28日
纸浆期货上市即收跌停 行业人士：价格还有调整空间,(11月28日 01:31),11月28日
险资加速增援民企 资金规模大和长期持有是两大优势,(11月28日 01:28),11月28日
评论：警惕“差一点儿”式高送转,(11月28日 01:28),11月28日
红杉中国2018投资地图曝光 早期投资占比超过60%,(11月28日 01:21),11月28日
十大博客看后市：市场万事俱备 正在等待点火,(11月27日 15:28),11月27日
杨德龙：如何抓住当前行情机会？,(11月27日 14:34),11月27日
吴晓求：中国的货币政策远比财政政策做得好,(11月27日 11:48),11月27日
午后名博看市：重磅事件或诱发A股变盘,(11月27日 11:35),11月27日
高送转戴上“紧箍咒” “任性送转”时代谢幕,(11月27日 07:21),11月27日
评论：老干妈有不上市的权利,(11月27日 06:36),11月27日
穿越牛熊——长期资金与股票期权产品的双剑合璧,(11月27日 06:33),11月27日
中国证券报：别让股份回购变成“空头支票”,(11月27日 01:27),11月27日
中证报：高送转戴上“紧箍咒” 任性送转时代谢幕,(11月27日 00:38),11月27日
严查市场操纵 应重视上市公司送转方案打擦边球行为,(11月27日 00:16),11月27日
十大博客看后市：今天大盘或是下跌中继,(11月26日 15:31),11月26日
德龙密语：如何抓住当前行情机会？,(11月26日 14:49),11月26日
估值处于相对底部区域 医药板块迎来修复行情,(11月26日 11:52),11月26日
午后名博看市：此轮反弹思路有新变化,(11月26日 11:21),11月26日
最严指引存进一步完善空间 建议高送转设定统一标准,(11月26日 02:30),11月26日
向“滥送转”亮剑 沪市高送转有望走向规范化,(11月26日 02:30),11月26日
游资恶炒创投概念惊动监管 创投股东觅得减持良机,(11月26日 01:59),11月26日
杨德龙：风险已充分释放 还有什么可担忧的？,(11月26日 01:20),11月26日
评论：高送转挂钩业绩成长降温炒作净化市场环境,(11月26日 00:04),11月26日
证券日报：股份回购实操细则有三大亮点,(11月26日 00:04),11月26日
为防止浑水摸鱼的情况 停复牌新规后应严防内幕交易,(11月26日 00:02),11月26日
新规明确高送转“负面清单” 高送转难任性,(11月26日 00:02),11月26日
中银策略：风格切换基础未形成 反弹主线是超跌修复,(11月25日 22:12),11月25日
下周影响市场重要资讯前瞻,(11月25日 14:54),11月25日
评论：纾困企业“减持宣言”是一针清醒剂,(11月25日 09:59),11月25日
海通姜超：中国收货币减税负 有望走向股债双牛之路,(11月23日 21:43),11月23日
高送转游戏会破灭？ 规范≠禁止 请勿轻言“不得”,(11月23日 21:31),11月23日
海通证券首席经济学家姜超：现在是历史性投资机会,(11月23日 15:30),11月23日
十大博客看后市：周五放量阴线暗藏三大积极信号,(11月23日 15:16),11月23日
追高资金遭闷杀 两大妖股一字跌停,(11月23日 14:10),11月23日
午后名博看市：关注2600点下方的低吸机会,(11月23日 11:44),11月23日
中国证券报：完善停复牌制度 有利维护A股流动性,(11月23日 02:31),11月23日
从中央到地方八方支援来纾困 民企自身也要“争气”,(11月23日 02:30),11月23日
赵薇夫妇再被罚 “明星资本玩家”之路行不通了,(11月23日 02:30),11月23日
行情回暖催热A股减持潮 监管关注清仓式套现,(11月23日 01:56),11月23日
郑眼看盘：缩量盘整 热点暂时较少,(11月23日 01:12),11月23日
因为累计涨幅过大 券商股下跌不是反弹结束的标志,(11月23日 00:26),11月23日
评论：停复牌制度助力A股国际化道路更顺畅,(11月23日 00:04),11月23日
逆回购焦虑怎么化解？金融监管不只数据发布还要解读,(11月23日 00:04),11月23日
董秘成高危职业：当好参谋和管家 还要“代人受过”,(11月22日 21:32),11月22日
近3000股有停牌经历 A股有股票三分之一时间都在停牌,(11月22日 20:02),11月22日
稳步推进退市制度改革 专家呼吁配套制度加速落地,(11月22日 15:32),11月22日
十大博客看后市：缩量震荡静静等待重要变盘来临,(11月22日 15:14),11月22日
午后名博看市：调整后即将迎来低吸机会,(11月22日 11:16),11月22日
中国股市为什么容不下“赵薇”们？,(11月22日 10:23),11月22日
证券日报二评罗永浩：永浩 停止你的永“锤”不休吧,(11月22日 07:00),11月22日
太平洋证券：以专业能力引导市场预期是研究立身之本,(11月22日 06:33),11月22日
大盘稍有起色股东就玩套路 有些公司边回购边减持,(11月22日 03:02),11月22日
杨德龙：防范商誉减值风险 坚持价值投资理念,(11月22日 02:19),11月22日
停牌庇护伞不复存在 市场流动性得到增强,(11月22日 02:19),11月22日
停复牌新规显效 “停牌钉子户”陆续复牌,(11月22日 02:19),11月22日
评论：退市企业重新上市从严标准不会变,(11月22日 02:19),11月22日
伦敦采访手记：A股真成了外资眼中的香饽饽？,(11月22日 02:05),11月22日
发行股份重组停牌时间不超过10个交易日,(11月22日 00:52),11月22日
给资本玩家的“罚单”“一个都不能少”,(11月22日 00:07),11月22日
上市公司停复牌戴紧箍 困扰A股的停牌顽疾开始好转,(11月22日 00:02),11月22日
沪深所发布停复牌新规征求意见 当日停牌率降至1.06%,(11月21日 23:06),11月21日
中证报评论：重拳祭出 “任性”停牌已穷途末路,(11月21日 22:57),11月21日
水皮：博天环境当头棒喝 资本的真相是人吃人,(11月21日 22:00),11月21日
政府纾困股东跑路 A股是怎样的一场博弈,(11月21日 19:52),11月21日
十大博客看后市：明日市场将选择短期方向,(11月21日 15:18),11月21日
杨德龙：下一步市场行情如何演绎？,(11月21日 14:13),11月21日
午后名博看市：指数再探支撑把握热点主线,(11月21日 12:04),11月21日
看公告千万别自作多情 这些高送转潜力股恐怕难送转,(11月21日 09:51),11月21日
道达早评：博天环境三位重要股东暂时不减持了,(11月21日 09:10),11月21日
桂浩明：科创板将至 新三板该如何重新定位,(11月21日 05:21),11月21日
张锐：高商誉从来不与乐观结果画等号,(11月21日 05:20),11月21日
"缓解股权质押风险既要防""踩踏"" 更要下功夫构建制度",(11月21日 01:13),11月21日
评论：上市公司高管要管好公司更要管好自己,(11月21日 01:13),11月21日
证券日报：抓住股市的核心功能谋划改革,(11月21日 01:13),11月21日
资本市场没有神话 避险永远是投资的第一要务,(11月21日 00:31),11月21日
申万宏源杨成长：科创板试行注册制应强化实质性审核,(11月21日 00:25),11月21日
治理停牌乱象 开弓已无回头箭,(11月21日 00:23),11月21日
证券市场监管的宽与严,(11月21日 00:23),11月21日
华讯投资：外围市场阴霾再袭 指数借机回踩卸下负重,(11月20日 16:39),11月20日
股指调整支撑目标位曝光 后市留意三大板块投资机会,(11月20日 16:37),11月20日
源达：外盘重挫市场回调 A股反弹不会一蹴而就,(11月20日 16:33),11月20日
付立春:理解科创板的定位 是扩大金融全面开放的桥梁,(11月20日 15:55),11月20日
十大博客看后市：趋势不变箱体整理再上攻,(11月20日 15:16),11月20日
德龙密语：下一步市场行情如何演绎？,(11月20日 13:16),11月20日
午后名博看市：高潮退却谨防短期头部出现,(11月20日 11:22),11月20日
应鼓励龙头ETF基金多样化发展 更好地服务投资者,(11月20日 07:47),11月20日
什么样的企业能上科创板？企业建议淡化财务指标限制,(11月20日 06:00),11月20日
多家基金公司认为：A股将继续超跌反弹,(11月20日 02:32),11月20日
完善股份回购制度 稳定资本市场,(11月20日 02:30),11月20日
证券时报头版评论：商誉有好坏 业绩不能靠承诺,(11月20日 02:30),11月20日
评论：完善退市制度是股市改革的重要内容,(11月20日 01:50),11月20日
杨涛：科创板将推动卖方研究迎来黄金时代,(11月20日 01:23),11月20日
纾困民企为支持长期资金入市赋予新内涵,(11月20日 00:29),11月20日
企业要打造“百年老店” 加强伦理建设是不二选择,(11月20日 00:06),11月20日
史上最严退市新规出台 投资者保护“短板”需补上,(11月20日 00:06),11月20日
十大博客看后市：2700点是防守还是进攻？,(11月19日 15:25),11月19日
“科创板第一股”大猜想：新三板企业潜力巨大,(11月19日 13:35),11月19日
午后名博看市：权重发力蓄势后有望站上2700,(11月19日 11:33),11月19日
玩火自焚 *ST长生遭遇强制退市是给投机炒作者的教训,(11月19日 07:49),11月19日
郭施亮:长航油运获准重新上市将会给A股带来什么影响,(11月19日 04:22),11月19日
皮海洲：科创板不只是A股市场的“试验田”,(11月19日 04:22),11月19日
证券日报：A股退市制度实现“主动+被动”全覆盖,(11月19日 01:20),11月19日
评论：退市新规将成A股市场一剂猛药,(11月19日 01:20),11月19日
退市制度改革蹄疾步稳夯实资本市场基础,(11月19日 01:11),11月19日
主要源于政策的扶持 大股东纷纷解质押有利后市,(11月19日 00:04),11月19日
A股上空的“利剑”落地 谁将首个踩雷最严强制退市令,(11月19日 00:04),11月19日
钱军：解决质押股权问题应采取不同的定价模式,(11月18日 19:10),11月18日
下周影响市场重要资讯前瞻,(11月18日 16:23),11月18日
评论：重组不停牌要求上市公司信披更科学及时,(11月17日 03:31),11月17日
证券时报头版：严防过度逐利 规范学前教育发展,(11月17日 03:31),11月17日
科创板标志着中国资本市场迎来更加市场化的时代,(11月17日 02:00),11月17日
水皮：IPO可遇不可求 中国人保带来什么机会？,(11月17日 01:49),11月17日
十大博客看后市：下周重点关注这两点内容,(11月16日 15:24),11月16日
午后名博看市：创投持续爆发指数午后完成突破,(11月16日 11:31),11月16日
晶苏传媒首席分析师：市场主体的退路也要畅通,(11月16日 06:37),11月16日
证券时报：别把创投概念这部好经给念歪了,(11月16日 02:45),11月16日
蔡恩泽：加快推进退出制度改革 让市场主体更有活力,(11月16日 02:30),11月16日
盘和林：科创板即将“上线” 并非纳斯达克复制品,(11月16日 02:30),11月16日
中原证券邓淑斌：三方面制度设计保障科创板流动性,(11月16日 02:15),11月16日
高送转的炒作套路 属于投资者之间的零和游戏,(11月16日 00:29),11月16日
科创板即将“上线” 并非纳斯达克复制品,(11月16日 00:07),11月16日
李大霄：中国银行成立理财子公司 对股市有正面影响,(11月15日 18:05),11月15日
十大博客看后市：次新股风口将助创板前行,(11月15日 15:47),11月15日
李扬：资本市场沦为扶贫工具 没有发挥资源配置功能,(11月15日 10:52),11月15日
恒立实业、*ST长生等被监控 游资炒作妖股无通行证,(11月15日 08:20),11月15日
超出想象：科创板进展首次公布 还有更多信息,(11月15日 07:35),11月15日
申万宏源首席经济学家：科创板制度要体现六个衔接,(11月15日 06:35),11月15日
让市场决定“壳”股定价 放宽重组不等于支持炒作,(11月15日 03:50),11月15日
发展衍生品中国股市才会走向成熟,(11月15日 02:41),11月15日
曹中铭：恒立实业等被监控游资炒作妖股无通行证,(11月15日 02:30),11月15日
皮海洲：妖股炒作不可持续 投资者赚快钱风险自担,(11月15日 02:30),11月15日
基金经理科创板愿景：期盼良币驱除劣币,(11月15日 01:20),11月15日
股价严重背离公司基本面 多只妖股“高台跳水”,(11月15日 00:20),11月15日
将对上市公司内在价值构成支撑 国际原油下跌利好A股,(11月15日 00:20),11月15日
“妖股”炒作不可持续 投资者“赚快钱”风险自担,(11月15日 00:08),11月15日
买了暴涨的垃圾股别高兴太早 证监会已经盯上你了,(11月14日 20:10),11月14日
十大博客看后市：权重板块集体调整反弹结束了吗,(11月14日 15:10),11月14日
德龙密语：低价股为何持续上涨？,(11月14日 14:55),11月14日
海通证券：传媒板块部分公司估值已处历史底部区间,(11月14日 14:41),11月14日
杨德龙：如何看待当前反复震荡走势,(11月14日 14:17),11月14日
梁红：A股的制度缺陷已成为多项改革的瓶颈 急需突破,(11月14日 12:13),11月14日
莫让企业纾困刮起炒作风 将普通投资者变成接盘侠,(11月14日 09:37),11月14日
国泰君安：已经撤离的外资重新入场意味着什么？,(11月14日 08:48),11月14日
270家小市值公司消失 这一幕上一次发生在2014牛市前,(11月14日 07:55),11月14日
经济日报：无需过度担心短期“壳”股涨跌,(11月14日 07:10),11月14日
资深经济研究者熊锦秋：让更多回购情形享受政策优惠,(11月14日 06:37),11月14日
经济日报:市场最害怕的不是壳股涨跌 是规则频繁改变,(11月14日 06:36),11月14日
证券时报头版：莫让企业纾困刮起炒作风,(11月14日 06:24),11月14日
十年大数据观测停牌A股 1280只股票超长待机,(11月14日 03:30),11月14日
王建宙：推动并购重组提高上市公司质量,(11月14日 03:04),11月14日
李大霄：积极因素叠加支撑A股稳中向好,(11月14日 02:00),11月14日
岑赛铟：上市公司要高质量的发展离不开两条路径,(11月14日 01:12),11月14日
新规发威 国际实业等多股重组不停牌,(11月14日 00:56),11月14日
杨德龙：A股走势相对独立 美股大跌不改大盘反弹,(11月14日 00:54),11月14日
证券日报：新规奏效重组不停牌成A股新气象,(11月14日 00:54),11月14日
复旦大学钱军：可转换债或可解决民企融资问题,(11月13日 23:59),11月13日
低价股上演逼空行情 私募人士：不如持有一种风格,(11月13日 23:59),11月13日
李杨：把资本市场当成政策工具 和唯GDP论异曲同工,(11月13日 14:34),11月13日
李迅雷:大市值股票估值水平已非常合理 非常值得投资,(11月13日 14:09),11月13日
黄孟复:A股完全脱离了中国经济发展基本面（全文）,(11月13日 12:00),11月13日
创投概念股暴涨 弘业股份股价接近翻倍,(11月13日 11:44),11月13日
黄孟复:中国股市被低估因自己看不起自己 逃跑快得很,(11月13日 11:40),11月13日
李扬：资本市场被赋予太多功能 成了扶贫手段,(11月13日 11:00),11月13日
黄孟复：我国股市完全脱离了经济发展基本面,(11月13日 10:42),11月13日
赚钱效应回归游资买买 这次反弹不一样已有七大变化,(11月13日 09:36),11月13日
中金公司：预计明年恒生国企指数存在11%的上行空间,(11月13日 09:01),11月13日
30万卖单就被警告 A股交易监管的变与辩,(11月13日 08:41),11月13日
三部委“力挺”股份回购 A股迎周一开门红,(11月13日 08:26),11月13日
经济日报：利好因素在加强 股市不仅会走稳还会走好,(11月13日 07:56),11月13日
百股涨停再现 是加速还是转折？,(11月13日 07:45),11月13日
证券日报：A股又到捡便宜的时候了,(11月13日 03:19),11月13日
周俊生：“仙股”退市且慢快意叫好,(11月13日 02:30),11月13日
中国证券报：股份回购助力“错杀”公司价值回归,(11月13日 00:29),11月13日
一天4家公司实控人拟生变 A股上市公司扎堆易主,(11月13日 00:12),11月13日
可能会伤害到中小投资者利益 仙股退市且慢快意叫好,(11月13日 00:06),11月13日
皮海洲：中弘股份会成为绝版的“1元”退市股吗？,(11月12日 18:03),11月12日
德龙密语：如何看待当前反复震荡走势？,(11月12日 15:11),11月12日
十大博客看后市：大盘短线多方还有机会,(11月12日 15:03),11月12日
*ST长生连续3涨停 ST板块获爆炒,(11月12日 14:38),11月12日
皮海洲：科创板能否成为中国的“纳斯达克板”,(11月12日 09:15),11月12日
李大霄：巨大财富转移正在发生 A股超级底将温柔呈现,(11月12日 09:14),11月12日
四大私募看盘：市场的情绪颇为纠结 关注个股的机会,(11月12日 08:31),11月12日
谭浩俊：设立科创板并试点注册制是哪些企业的机会,(11月12日 08:28),11月12日
又有上市公司加入抄底大军 部分公司对投资依赖高,(11月12日 07:24),11月12日
专家:股份回购等同于分红 有利于投资者坚定价值投资,(11月12日 04:12),11月12日
股权激励和员工持股计划将激活回购,(11月12日 04:12),11月12日
小微企业股权融资工具如何真正落地,(11月12日 04:12),11月12日
华安基金陆秋渊：当前正是价值投资最好的时代,(11月12日 02:30),11月12日
皮海洲：上市公司再融资“松绑”有所为有所不为,(11月12日 02:30),11月12日
杨德龙：机构资金不会无缘无故地大量流入,(11月12日 02:05),11月12日
诺德基金：设立科创板对资管机构提出了全新要求,(11月12日 02:05),11月12日
华安沪港深机会基金经理陆秋渊：静待价值之花绽放,(11月12日 02:05),11月12日
魏敏：多管齐下 为科创板和注册制铺路,(11月12日 01:54),11月12日
白海峰：长期来看A股有望走出市场底,(11月12日 01:39),11月12日
应让更多回购情形享受政策优惠,(11月12日 01:04),11月12日
中证报头版评论:深化双向混改 建立国资有效退出机制,(11月12日 01:02),11月12日
李迅雷：投资要抓大放小 一个观察者与思考者的妙趣,(11月12日 01:00),11月12日
以回购享受政策优惠 上市公司应创造乐观基本面,(11月12日 00:37),11月12日
上市公司再融资“松绑” 有所为有所不为,(11月12日 00:37),11月12日
A股商誉首破1.4万亿元 警惕高商誉个股“爆雷”风险,(11月12日 00:26),11月12日
申万宏源钱启敏：从关注政策面转向关注基本面,(11月12日 00:09),11月12日
首席经济学家的2018：拥抱慢牛最后发现怀里抱着头熊,(11月11日 16:52),11月11日
下周影响市场重要资讯前瞻,(11月11日 15:04),11月11日
杨德龙：如何应对当前市场震荡？,(11月10日 14:08),11月10日
中国经营报刊文：取消证券交易印花税的建议并不恰当,(11月10日 10:05),11月10日
水皮:注册制是新轮牛市起点 实施之日是行情启动之时,(11月10日 08:09),11月10日
苏培科:“科创板+注册制”有助于提振多层次资本市场,(11月10日 07:58),11月10日
没有触及核心的再融资修正和满是突破点的回购新规,(11月10日 07:28),11月10日
黄湘源：科创板注册制改革将影响A股投资行为,(11月10日 02:08),11月10日
专家：退市常态化利于价值投资,(11月10日 01:29),11月10日
证券日报：证监系统倾听民意 催动市场制度建设提速,(11月10日 01:29),11月10日
金学伟：市场归根到底就是个能量问题,(11月10日 00:45),11月10日
桂浩明:不搞注册制 科创板不具备顺利推出的现实可能,(11月10日 00:11),11月10日
闻韶：停牌不再是上市公司大股东“私器”,(11月10日 00:11),11月10日
陈嘉禾：投资要以史为鉴 不要刻舟求剑,(11月10日 00:11),11月10日
