标题,日期时间,日期
十大博客看后市：大盘强势反弹进入倒计时,(10月16日 16:08),10月16日
刘士余座谈会2.5小时:传递4大信号和股民的10大关切,(10月16日 08:33),10月16日
沪伦通“通车”冲刺 专家称将平滑市场周期波动,(10月16日 04:34),10月16日
“股市的春天”应该有起有落 总体稳中有升,(10月16日 02:30),10月16日
看好低估值“洋散户”积极入市,(10月16日 00:30),10月16日
低市盈率小盘股不一定安全 主要存在两个投资风险,(10月16日 00:01),10月16日
十大博客看后市：市场或将砸出罕见大机会,(10月15日 15:37),10月15日
德龙密语：不破不立 大盘能否否极泰来？,(10月15日 14:07),10月15日
刘士余周末提“春天论” Ａ股三大指数涨跌不一,(10月15日 09:51),10月15日
投资者保护基金 该怎样真正保护投资者？,(10月15日 02:30),10月15日
沪伦通或将带来新的 跨市场组合投资机会,(10月15日 01:42),10月15日
融资用途放宽 上市公司资金压力有望缓解,(10月15日 00:02),10月15日
下周影响市场重要资讯前瞻,(10月14日 14:56),10月14日
市场操纵者任良成再次被罚：3年领3.6亿罚单,(10月12日 21:51),10月12日
李迅雷：沪伦通推出的意义重大,(10月12日 19:04),10月12日
仇彦英建言中国股市:投资价值是获得投资收益的基础,(10月12日 16:08),10月12日
牛春宝建言中国股市:做假上市或财务粉饰者牢底坐穿,(10月12日 13:59),10月12日
长盛基金市场异常波动点评:对A股市场没必要过度悲观,(10月12日 13:39),10月12日
皮海洲建言中国股市：做好修法使证券法成严刑峻法,(10月12日 13:25),10月12日
A股两天蒸发4万亿提前入冬 信托收益率上涨暖意融融,(10月12日 13:11),10月12日
去年公募冠军林鹏：每一次下跌都意味着距离转机越近,(10月12日 12:49),10月12日
李大霄:十理由保护上证50儿童底 稳定市场信心最重要,(10月12日 10:37),10月12日
多家公司表态：股市持续调整 或将出手维稳,(10月12日 07:57),10月12日
桂浩明：中小市值股票活跃度在分化中会下降吗,(10月12日 06:50),10月12日
评论：抗癌药降价之后更需保障供应,(10月12日 05:56),10月12日
业内人士谈市场：专业机构在逢低投资,(10月12日 05:55),10月12日
恒生前海基金：A股估值处于历史低位,(10月12日 02:15),10月12日
机构看市：注重长线投资 期待政策实效,(10月12日 01:32),10月12日
官媒：应采取措施维稳A股 如央行对证金注入流动性等,(10月12日 00:31),10月12日
买入理由应是看好公司未来 下修转股价投资者别心动,(10月12日 00:00),10月12日
中石油等公司集体发声维稳股价 A股会“否极泰来”吗,(10月11日 23:15),10月11日
张忆东:我看到做空市场的机会 就像看到当年港股牛市,(10月11日 22:55),10月11日
曹凤岐：提高上市公司质量是振兴A股的根本出路,(10月11日 22:46),10月11日
证券时报社评：廓清迷雾恢复信心 积极作为稳定股市,(10月11日 22:27),10月11日
美股“失火”殃及A股 机构激论“底”在何处？,(10月11日 20:57),10月11日
招商基金：A股估值经过连续大幅下跌之后更具吸引力,(10月11日 20:16),10月11日
刘纪鹏：股市有自身的纠错机制,(10月11日 20:03),10月11日
全球股市滑铁卢 苏培科：A股应该走出一条独立的道路,(10月11日 19:21),10月11日
水皮杂谈：覆巢之下无完卵 全球市场或进入调整周期,(10月11日 18:25),10月11日
长江商学院周春生：A股绩优股的投资机会也许到了,(10月11日 16:56),10月11日
A股：等我病好了 再来买我吧,(10月11日 16:36),10月11日
水皮：谁动了特朗普的本钱？,(10月11日 16:35),10月11日
十大博客看后市：大盘重新进入寻底阶段,(10月11日 15:52),10月11日
董少鹏：中国股市该上涨了 还在等什么？,(10月11日 14:37),10月11日
滕泰:A股已经严重超跌 应尽快出台提振股市信心政策,(10月11日 13:29),10月11日
李大霄：大跌不是A股本身问题 应动员多方力量稳市场,(10月11日 13:03),10月11日
再融资想多拿钱？监管态度明确：请挤干“水分”,(10月11日 06:49),10月11日
金九银十降温系列(二)：戏精万科的厦门退房记,(10月11日 04:07),10月11日
证券日报：人民币汇率不存在大幅贬值空间,(10月11日 01:30),10月11日
胡润百富榜的人来人往：有故事的 是那些黯然离场者,(10月10日 21:40),10月10日
成也股市败也股市 456人跌出胡润百富榜,(10月10日 21:31),10月10日
写给股民的一封信：这是最差的时代 也是最好的时代,(10月10日 19:10),10月10日
十大博客看后市：次新股大涨透露一个信号,(10月10日 15:39),10月10日
"楼市入冬？业主打砸售楼处万科只想""活下去""",(10月10日 11:07),10月10日
李大霄：降准威力慢慢显现 活捉空头行动一触即发,(10月10日 11:03),10月10日
郭施亮：房地产市场降温 为何股市变得更“冷”？,(10月10日 10:01),10月10日
HIV体检报告出来了 从平安朱益勇事件看世态炎凉,(10月10日 09:51),10月10日
皮海洲：贾跃亭翻脸 许家印会否重踏孙宏斌的覆辙？,(10月10日 09:24),10月10日
天风徐彪：如果明年创业板纳入MSCI 外资会买什么？,(10月10日 08:52),10月10日
刘世欣：券商单一通道业务模式亟待改变,(10月10日 02:22),10月10日
评论：提振A股市场信心关键在于稳预期,(10月10日 02:21),10月10日
并购重组监管集结令:提升效率审核更严格否决率抬头,(10月10日 01:33),10月10日
北上资金3季度买卖A股名单:白马股被弃 大基建受青睐,(10月09日 21:41),10月09日
全国百强县江阴县A股公司最多 比一个省还多,(10月09日 19:49),10月09日
十大博客看后市：最迟周五大盘有望返身向上,(10月09日 15:48),10月09日
地方国资入主民企再掀高潮 能否改善公司业绩待观察,(10月09日 14:02),10月09日
A股并购市场的发展趋势和机遇:套利型交易会大幅减少,(10月09日 10:37),10月09日
对话哈维·施瓦茨 高盛视角下的金融危机十年,(10月09日 10:20),10月09日
郭施亮：A股逾百点长阴下跌 为何有如此非理性表现？,(10月09日 08:58),10月09日
德龙密语：降准能否启动“银十”行情？,(10月09日 08:49),10月09日
经济日报头版：“外资撤离论”实属危言耸听,(10月09日 07:38),10月09日
广发证券：从历史视角看光伏行业发展,(10月09日 02:30),10月09日
证券日报：新一届发审委审核风格不会变,(10月09日 02:29),10月09日
前海开源王宏远：A股市场正处于相对底部,(10月09日 02:12),10月09日
皮海洲：马斯克受罚案 值得A股市场监管借鉴,(10月09日 01:20),10月09日
广发基金：均衡配置应对市场波动 可关注保险等板块,(10月09日 01:20),10月09日
李宇嘉：金九银十褪色背后的地产趋势和转型路径,(10月09日 00:29),10月09日
券商收紧股票质押融资是好事 有利于降低市场杠杆率,(10月09日 00:09),10月09日
三大股指齐跌 A股10月首个交易日未能迎来“开门红”,(10月09日 00:09),10月09日
证监会女处长二审为脱罪 改口称与某CEO是情人关系,(10月08日 19:48),10月08日
十大博客看后市：大盘回调或是抄底良机,(10月08日 15:18),10月08日
证券日报董少鹏：降准主要目的不是“干预”股市,(10月08日 12:45),10月08日
红十月不敌外围市场寒流 节后首个交易日A股大跌3%,(10月08日 11:32),10月08日
上市公司吃相难看怎么破 治理准则有三套约束机制,(10月08日 09:59),10月08日
经参头版：及时降准锚定增长预期,(10月08日 07:33),10月08日
银行理财新规利好资本市场 理财子公司直投引遐想,(10月08日 01:51),10月08日
东吴证券孙玮：外围市场走弱不改反弹趋势,(10月08日 01:51),10月08日
证券日报：政策合力夯实A股光明论,(10月08日 00:59),10月08日
港股暴跌VS央行降准 黄金周后A股迎来“红十月”？,(10月08日 00:47),10月08日
证券时报：降准落地央行预期管理更进一步,(10月08日 00:47),10月08日
央行降准或助力A股反弹 基金经理四季度看好消费板块,(10月08日 00:12),10月08日
媒体：恒指4日跌去4.38% 市场观望情绪蔓延,(10月08日 00:02),10月08日
冷静看待外围股市下挫 A股有着更高的安全边际,(10月08日 00:00),10月08日
新华社：D股启航在即 中国资本市场国际化进程提速,(10月08日 00:00),10月08日
下周影响市场重要资讯前瞻,(10月07日 15:39),10月07日
公募传奇大佬王宏远再次公开唱多：全面加仓,(10月01日 13:34),10月01日
刘煜辉:股市是技术性熊市 要回避与补贴等相关的股票,(09月30日 13:21),09月30日
10月A股反弹行情能否持续？分析师观点存分歧,(09月30日 11:00),09月30日
巴曙松：新经济比重上升 不少产业度过初创迎来成长,(09月30日 10:42),09月30日
杨德龙:公募理财可投资基金 股市有望迎新的增量资金,(09月30日 09:20),09月30日
明星错过股市财富乃股民之万幸,(09月30日 07:20),09月30日
杨德龙：两大国际指数竞相纳入A股说明了什么？,(09月29日 13:17),09月29日
又一外资机构力挺A股 瑞银资管认为目前是较好切入点,(09月29日 13:12),09月29日
杨凯生：理财新规关于投资股票的安排是恰当的,(09月29日 10:27),09月29日
央行主管金融时报：上市公司“更名”不等于转型,(09月29日 08:17),09月29日
证监会：让资本市场“黑嘴”闭嘴,(09月29日 06:35),09月29日
专家：通胀卷土重来的担忧似乎没有充分的依据,(09月29日 03:28),09月29日
董希淼：“入富”标志着A股国际化步伐加快,(09月29日 03:28),09月29日
证券日报:投资者群体呈三特征 投保工作应各有侧重点,(09月29日 03:28),09月29日
金学伟：股市已进入合理状态 生态环境是关键,(09月29日 01:05),09月29日
重阳投资：供给收缩+需求恢复致油价上涨 后市将平稳,(09月29日 00:00),09月29日
A股迎30年来最重大改革 独角兽回归倒计时？,(09月28日 20:50),09月28日
十大博客看后市：节后走势需要注意两点,(09月28日 15:42),09月28日
余永定：股票市场可能已经见底 资本外逃有能力控制,(09月28日 12:26),09月28日
A股新动向：部分消费类上市公司只接受外资调研,(09月28日 08:47),09月28日
基金公司表示：A股“入富” 夯实反弹基础,(09月28日 07:44),09月28日
证券日报：三因素撑起A股光明论,(09月28日 04:54),09月28日
富时罗素：“入富”反映中国股市取得长足发展,(09月28日 04:54),09月28日
证券日报：八次加息会否终结美股九年牛市？,(09月28日 04:54),09月28日
APG资管首席执行官：市场波动不会影响持续投资中国,(09月28日 02:04),09月28日
评:成功入富有利于提升A股国际化水平和资源配置效率,(09月28日 00:56),09月28日
A股“入富”奈何表现低迷 10月能否迎来深跌反弹？,(09月27日 18:06),09月27日
港银全面加息楼市影响几何 为何内地加息必要性不大,(09月27日 18:05),09月27日
尹中立：当前股市的内在矛盾是杠杆资金规模过大,(09月27日 16:14),09月27日
十大博客看后市：调整不要怕 是给资金新的买点,(09月27日 15:34),09月27日
杨德龙：“金九”爽约 “银十”行情能否到来？,(09月27日 14:32),09月27日
杨德龙：美联储如期加息 对A股走势影响不大,(09月27日 07:31),09月27日
曹中铭：入富与提高MSCI权重 A股价值投资将成主流,(09月27日 02:30),09月27日
“入富”与提高MSCI权重 A股市场价值投资将成主流,(09月27日 02:12),09月27日
刘新华：需进一步全方位保护投资者合法权益,(09月27日 01:03),09月27日
业界热议持股行权 建议扩大广度与深度,(09月27日 01:03),09月27日
证券日报：A股“入富”将改变市场生态,(09月27日 01:03),09月27日
国海富兰克林基金徐成：当前市场机会大于风险,(09月27日 00:54),09月27日
王辉：提振消费 股市当有更大作为,(09月27日 00:53),09月27日
A股“入富”悬念今日揭晓 大规模增量资金可期,(09月27日 00:45),09月27日
同比暴增17倍 可转债融资升温,(09月27日 00:45),09月27日
尹中立：股市为何对商品房预售制度反应如此敏感,(09月27日 00:42),09月27日
十大博客看后市：冲高回落下的几点注意,(09月26日 15:42),09月26日
最长停牌1024天 任性停牌钉子户们冻结资金6000亿,(09月26日 14:23),09月26日
杨德龙:考虑将A股在MSCI指数中权重调高表明外资态度,(09月26日 10:26),09月26日
德龙密语：“金九”爽约 “银十”行情能否到来,(09月26日 10:25),09月26日
李大霄：明晟或再调高A股权重 低估优质蓝筹将被争抢,(09月26日 10:01),09月26日
报告隐藏两大福利 A股ESG披露指引要求最快年底推出,(09月26日 08:06),09月26日
"时报:""入富""意味国际化提速 投资者需适应开放新趋势",(09月26日 07:51),09月26日
朱邦凌：A股市场终将迎来牛市蝶变,(09月26日 06:39),09月26日
两市质押市值逼近5万亿 近12家机构已“清仓”质押,(09月26日 01:41),09月26日
“白衣骑士”反遭暗算 配资江湖险象环生,(09月26日 00:18),09月26日
没有实质利好股价却诡异上涨 谨防亚振家居式闪崩,(09月26日 00:07),09月26日
杨德龙：本周美联储加息与否有何影响？,(09月25日 17:10),09月25日
十大博客看后市：部分板块已见趋势拐点,(09月25日 15:17),09月25日
杨德龙：行业盈利向头部集中 继续关注白龙马股机会,(09月25日 13:23),09月25日
德龙密语：本周美联储加息与否有何影响？,(09月25日 10:29),09月25日
申万点评富时罗素是否纳入A股：外资配置A股新助力？,(09月25日 10:00),09月25日
三季报披露接近尾声 逾四成*ST股预亏,(09月25日 07:23),09月25日
盘和林：一周净投放6000亿 关键是投向,(09月25日 05:11),09月25日
皮海洲：新财富最佳分析师评选确有必要推倒重来,(09月25日 02:30),09月25日
评论：打击杠杆型市场操纵应攻其软肋,(09月25日 01:42),09月25日
评论：演艺圈里股事多 对操纵者要严惩,(09月25日 01:42),09月25日
证券日报：“入富”与否 不改A股国际化趋势,(09月25日 00:49),09月25日
证券日报：交易所一线监管 向着更精更专更全发展,(09月25日 00:49),09月25日
北京商报：不宜盲目追涨 把握好蓝筹股的反弹节奏,(09月25日 00:14),09月25日
金融开放有新动作 A股迎来“洋散户”,(09月24日 18:35),09月24日
兴业证券张忆东:中期警惕新兴市场危机拖累港美股,(09月22日 15:07),09月22日
应健中：A股反弹高度有多高 是小反弹还是行情反转？,(09月22日 11:11),09月22日
卖方的肉与谷：要佣金还是新财富排名？,(09月22日 10:45),09月22日
激辩房企高周转：运营能力成核心,(09月22日 07:00),09月22日
评论：国企改革应大胆创新,(09月22日 05:37),09月22日
企业更名：换汤不换药 还是旧瓶装新酒？,(09月22日 02:07),09月22日
宋清辉：破净股投资价值不能一概而论,(09月22日 02:06),09月22日
申万宏源证券桂浩明：股市还有减税空间吗？,(09月22日 02:06),09月22日
信达证券分析师陈嘉禾：分析信息比获取信息更重要,(09月22日 02:06),09月22日
证券时报：持续亏损的投资标的可以多久不计提减值,(09月22日 02:06),09月22日
证券时报：让增持回购来得更真实更猛烈,(09月22日 02:06),09月22日
"桂浩明:工业富联正面临破发风险 ""独角兽热""已降温",(09月22日 01:27),09月22日
郭施亮：美股的今天会是A股的明天吗？,(09月22日 01:25),09月22日
皮海洲：政策底未现 2644点难成市场底,(09月22日 01:24),09月22日
中国证券报：A股仍有累累硕果值得期待,(09月22日 00:56),09月22日
十大博客看后市：节后市场还有红包发放,(09月21日 15:40),09月21日
李大霄：多方吐气扬眉 蓝筹慢牛渐渐稳固,(09月21日 13:24),09月21日
机构：四季度A股或迎反弹 看好银行、计算机、军工,(09月21日 11:54),09月21日
李大霄:促消费是重大利好 带领中国核心资产步入慢牛,(09月21日 09:33),09月21日
申万宏源桂浩明：屏弃功利性思维看外资入市,(09月21日 06:33),09月21日
国信证券王剑：银行理财投资股票规模不足5000亿,(09月21日 02:54),09月21日
阎庆民：稳是深化资本市场改革开放的基础和前提,(09月21日 02:41),09月21日
中证报：价廉并非一定物美 低价股暗藏高风险,(09月21日 02:14),09月21日
杨德龙：市场估值跌到历史底部 四季度投资机会凸显,(09月21日 02:08),09月21日
需防资本借机低位布局炒壳 理性看待股权转让概念股,(09月21日 00:23),09月21日
十大博客看后市：三原因周五大盘还有震荡,(09月20日 15:10),09月20日
万家基金:四季度股市有望迎来反弹 债市或将继续震荡,(09月20日 13:28),09月20日
农银汇理：A股短期反弹或持续一两周 关注油服、军工,(09月20日 11:51),09月20日
兰波：增强条款确定性 把要约收购做实做细,(09月20日 06:35),09月20日
防控风险被置于首位 严格监管奠定A股市场蝶变基础,(09月20日 02:30),09月20日
发改委强调稳投资 两市成交额重回3000亿元,(09月20日 02:30),09月20日
梁建章：高铁游将撬动万亿级旅游消费市场,(09月20日 01:24),09月20日
刘煜辉：今年A股遭遇了“阵痛” 但一定能扛过去,(09月20日 01:24),09月20日
整体抗跌高于中小创 反弹行情重点关注低估值蓝筹股,(09月20日 00:11),09月20日
德龙密语：市场迎来趋势性反弹机会了吗？,(09月19日 16:13),09月19日
十大博客看后市：大盘还有反复的几点原因,(09月19日 15:35),09月19日
李大霄：富时罗素若纳入A股 将带来万亿增量资金,(09月19日 14:35),09月19日
基岩资本：价值投资放诸四海而皆准 看好创新药,(09月19日 13:30),09月19日
普丽盛三发起人股东欲套现离场 股民希望在哪里,(09月19日 10:19),09月19日
深交所首席风控官张兆义：深市已成创新资本形成中心,(09月19日 06:51),09月19日
"李迅雷：确定性溢价正全面回归 A股投资宜""抓大放小""",(09月19日 06:51),09月19日
上交所副总经理徐毅林：积极推动上证指数走出国门,(09月19日 06:51),09月19日
美银美林：基金经理对全球经济增速放缓担忧情绪新高,(09月19日 01:56),09月19日
李迅雷：A股估值溢价有效性正在提高,(09月19日 01:16),09月19日
管清友：A股筑底是长期过程 亟待出台一揽子改革方案,(09月18日 23:32),09月18日
李大霄：中国股市苦尽甘来 儿童底在2644点最终探明,(09月18日 17:58),09月18日
十大博客看后市：光头中阳线释放三大拉升信号,(09月18日 15:38),09月18日
李大霄：十大利好因素将对A股产生正面影响,(09月18日 13:13),09月18日
博道基金：读懂了美林时钟 你才可能穿越牛熊,(09月18日 11:10),09月18日
招商证券许荣聪:消费呈现分级的特点 升级仍是主旋律,(09月18日 10:21),09月18日
东方基金许文波：坚守底线思维 看好行业龙头公司,(09月18日 10:18),09月18日
李大霄：市场并没形成新恐慌 一强大力量将大盘救起,(09月18日 09:38),09月18日
全球金融危机十周年启示：金融业不能脱实向虚,(09月18日 08:09),09月18日
志翔科技伍海桑：未来网络安全事件会越来越多,(09月18日 00:51),09月18日
瑞银资产管理施斌：A股调整趋于结束,(09月18日 00:16),09月18日
做空力量开始“收敛” 期指贴水缩小释放积极信号,(09月18日 00:04),09月18日
泡面榨菜大卖就是消费降级？权威数据告诉你真相,(09月18日 00:02),09月18日
台风“山竹”来袭 不必高估对A股影响,(09月17日 16:49),09月17日
十大博客看后市：三大底部信号共振暗示拉升在即,(09月17日 15:40),09月17日
李大霄：2647双底成立 主力是喜欢双底的高手？,(09月17日 14:34),09月17日
李大霄:优质股票已悄然换手 多方援军将络绎不绝进场,(09月17日 11:20),09月17日
方正：全面推行房地产税短期或对房地产相关行业冲击,(09月17日 09:21),09月17日
证券时报头版：火中取栗或一时得手但不可能永远得手,(09月17日 09:06),09月17日
海通姜超：当前经济的宿命与抵抗 三个数据值得警惕,(09月17日 07:58),09月17日
深圳基金经理放言：买入持有三年 赚钱概率超过九成,(09月17日 07:20),09月17日
杨德龙：当前投资者要守住业绩、心理和仓位三条底线,(09月17日 07:20),09月17日
郭施亮：A股迎来史上最大回购潮 需要注意哪些问题？,(09月17日 03:05),09月17日
皮海洲：外资“抄底A股”之说 煽情大于实际操作,(09月17日 03:04),09月17日
华润元大基金：市场四季度或迎机会,(09月17日 01:29),09月17日
前海联合基金：市场风险偏好有望修复,(09月17日 01:29),09月17日
下周影响市场重要资讯前瞻,(09月16日 15:11),09月16日
水皮：我国经济至少会经历三年的调整期,(09月15日 07:49),09月15日
闻韶：董事长增持是双刃剑 增持目的大不相同,(09月15日 01:14),09月15日
信达证券陈嘉禾：大众爱机会 聪明人爱体系,(09月15日 01:14),09月15日
十大博客看后市：下周将再次考验2638点支撑,(09月14日 15:51),09月14日
李大霄：从时间节点来看2647大底的成立理由众多,(09月14日 15:07),09月14日
海通策略：2008年以来A股涨幅没配上GDP,(09月14日 14:35),09月14日
李大霄：七大特征佐证2647大底 A股“大”牛市将启航,(09月14日 12:03),09月14日
为有效增强投资者信心 A股491家公司已实施回购股票,(09月14日 09:51),09月14日
经济日报：应正确理解股份回购作用,(09月14日 06:15),09月14日
谭雅玲: 人民币汇率慎重贬值很必要,(09月14日 04:54),09月14日
证券日报：不管“私营”还是“国有”都是中国的,(09月14日 04:54),09月14日
媒体：“沪伦通”之后会有“沪莫通”吗？,(09月14日 04:54),09月14日
管清友：股票市场已从资金端去杠杆到了资产端去杠杆,(09月14日 01:32),09月14日
身处看守所16个月后首度发声 鲜言称将提供财产线索,(09月13日 21:15),09月13日
鲜某首度发声悔过：愿意提供财产线索 配合法院执行,(09月13日 19:37),09月13日
十大博客看后市：A股一波三折暗藏重磅信号,(09月13日 15:41),09月13日
杨德龙：三季度市场筑底为主 四季度存大幅反弹机会,(09月13日 15:30),09月13日
李大霄：A股久违跳空高开 2647大底论断成立,(09月13日 09:57),09月13日
招商基金：A股估值继续筑底 静待反弹行情,(09月13日 09:26),09月13日
2638点心理战：破而后立or不破而立,(09月13日 09:06),09月13日
中证报头版评论员文章：美股牛市盛宴或变剩宴(附图),(09月13日 03:52),09月13日
"评论:资本玩家""掏空""上市公司 严重者应追究其刑责",(09月13日 02:30),09月13日
太平洋证券：理性看待大盘新低 耐心等待合适买点,(09月13日 00:04),09月13日
下修转股价存很大的不确定性 别赌可转债下修转股价,(09月13日 00:01),09月13日
天风策略：历次破净潮回顾 寻找错杀标的,(09月12日 23:32),09月12日
水皮：只要挺过股市三年调整周期 未来依然晴空万里,(09月12日 20:21),09月12日
陈光明：对于投资者最美好的时光是熊市 特别踏实,(09月12日 18:45),09月12日
杨德龙：大盘何时迎来反弹机会？,(09月12日 15:55),09月12日
李大霄：四大理由支撑2647点是市场转折点,(09月12日 15:21),09月12日
十大博客看后市：逢调即吸别等大涨再追,(09月12日 15:17),09月12日
李大霄：2647.17点为本次调整低点 反攻正式开始,(09月12日 11:00),09月12日
任泽平：回顾20年四轮货币政策周期 现在还会放松吗?,(09月12日 06:38),09月12日
社科院：A股估值已降至历史较低水平 投资价值浮现,(09月12日 06:08),09月12日
评论：外资加速入场有助A股稳定,(09月12日 06:08),09月12日
专家建议：借鉴境外监管经验 推动建立库存股制度,(09月12日 01:38),09月12日
每经：资本市场双向开放蹄疾步稳 中长期有利于A股,(09月12日 01:22),09月12日
海通:对比海外A股很憋屈 中国GDP占全球15%A股仅占9%,(09月12日 00:03),09月12日
A股还有15%下跌空间？冬天接近于尾声还是熊市结束了,(09月11日 18:29),09月11日
A股底部特征加强？破净股数量创历史新高,(09月11日 10:23),09月11日
证券日报：房地产税法总体思路正在坐实,(09月11日 03:04),09月11日
证券时报：引入逆周期调节机制促使股市回归理性,(09月11日 01:31),09月11日
国联安基金邹新进：估值处于底部 市场四季度或转向,(09月11日 01:29),09月11日
评论:很多市盈率30倍以下 A股中小盘股估值体系生变,(09月11日 00:12),09月11日
中证报：2700点下方不悲观 “政策底”已经确定无疑,(09月11日 00:10),09月11日
垃圾股集体狂欢 大白马回调后你还好吗？,(09月10日 19:36),09月10日
张忆东：中国经济处在秋天 现在是黎明前的黑暗,(09月10日 19:07),09月10日
管清友：A股像高铁跑在乡间小道 追赶不上经济的脚步,(09月10日 18:31),09月10日
熊市阶段的A股市场 确实越来越理性和港股化,(09月10日 18:15),09月10日
十大博客看后市：三大指数创新低暗藏积极信号,(09月10日 15:37),09月10日
李大霄:维稳会议释放积极信号 优质核心资产将被争抢,(09月10日 13:11),09月10日
申万宏源：社保征管体制改革对A股盈利有多大影响？,(09月10日 12:03),09月10日
兴证宏观王涵：换一个角度看今年的“债强股弱”,(09月10日 09:48),09月10日
冯仑谈房地产未来趋势：今后可能出的政策不会太多了,(09月10日 08:16),09月10日
评论：救市应避免伤害政府公信力,(09月10日 03:47),09月10日
盘和林：传统经纪人模式遭遇挑战 券商业务转型在即,(09月10日 03:47),09月10日
皮海洲：沪伦通将成上市公司“试金石”,(09月10日 03:46),09月10日
中银国际：社保征缴若严格依据要求 对A股利润影响6%,(09月09日 18:25),09月09日
下周影响市场重要资讯前瞻,(09月09日 15:45),09月09日
李迅雷：去杠杆虽未停 9月市场流动性无忧,(09月09日 10:39),09月09日
十大博客看后市：周末还需观望靴子落地,(09月07日 15:33),09月07日
李大霄：政策利好持续升温 回购新规筑牢市场底部,(09月07日 10:56),09月07日
逆回购连续12个交易日暂停 多因素考验9月流动性,(09月07日 08:07),09月07日
郭施亮:今年上市公司回购力度增多 如何解读这一现象,(09月07日 07:28),09月07日
证券时报：消除制度羁绊 让上市公司回购放开手脚,(09月07日 03:30),09月07日
证券日报：让上市公司回购成为常态,(09月07日 02:24),09月07日
A股新利好：回购制度补齐三大短板,(09月07日 01:03),09月07日
媒体:股市目前流动性不佳 适当关注个股期权投资机会,(09月07日 01:03),09月07日
深交所投教中心：借你一双慧眼 识破财务舞弊,(09月06日 17:09),09月06日
十大博客看后市：满仓抄底的时间即将到来,(09月06日 15:45),09月06日
李大霄：公司法修正草案发布?政策利好助力A股筑底,(09月06日 14:22),09月06日
杨德龙：为何要坚持基本面选股？,(09月06日 11:26),09月06日
李大霄：8月份产业资金开始逆转 中国版401K或成雏形,(09月06日 11:18),09月06日
皮海洲：沪伦通来了 A股公司挂牌的热情有多高？,(09月06日 09:54),09月06日
评论：股价低于面值退市规定为何尚未发挥效力？,(09月06日 03:05),09月06日
德龙密语：为何要坚持基本面选股？,(09月05日 17:35),09月05日
十大博客看后市：周四市场迎来重要历史性转折点,(09月05日 15:36),09月05日
瑞银：国际化机构化将成A股未来两大趋势,(09月05日 06:33),09月05日
皮海洲：上市公司分红制度有待完善 建议取消红利税,(09月05日 02:30),09月05日
支持未盈利生物医药企业上市 要建立筛选机制,(09月05日 02:30),09月05日
证券时报评资本市场监管:3天1规则 证监会主席不轻松,(09月05日 02:26),09月05日
乐视网+中弘股份日吸金10亿 等于249家公司成交总和,(09月05日 00:22),09月05日
不足百元的可转债有避险功能 投资者可重点关注,(09月05日 00:09),09月05日
李大霄:上证50上穿60天线 龙头股将带动市场摆脱低迷,(09月04日 17:38),09月04日
十大博客看后市：阶段性反弹再度开启,(09月04日 15:32),09月04日
李大霄：政策利好持续发酵?A股市场底部信号频现,(09月04日 14:04),09月04日
李大霄:上市公司回购创历年新高 空方疲劳现底部特征,(09月04日 11:32),09月04日
规范主要举措是信披 遏制忽悠式等重组应打其七寸,(09月04日 03:02),09月04日
利于投资属性回归 沪伦通将成为A股蓄水池而非抽水机,(09月04日 03:02),09月04日
ST长生股票重创炒作客 风险教育学费莫白交,(09月04日 02:21),09月04日
评论:尽早挂牌全国性调解中心 高效化解资本市场纠纷,(09月04日 01:11),09月04日
推出具有国际影响力A股市场指数势在必行,(09月04日 01:04),09月04日
决定股价调整的关键在预期 中报超预期股是布局良机,(09月04日 00:34),09月04日
王倩：取消金融机构外资入股限制需防范过渡期风险,(09月04日 00:33),09月04日
十大博客看后市：周二检验大盘是否企稳,(09月03日 15:20),09月03日
投服中心：坚持人民性宗旨 以创新模式求业务发展,(09月03日 13:46),09月03日
