时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2018-07-17,二",57.9,58.26,57.42,58.02,0.52%,1.46%,"37,994,302","2,195,501,100",0.351,41572
"2018-07-18,三",58.28,59.11,57.75,57.81,-0.36%,2.34%,"46,448,505","2,717,273,900",0.429,53464
"2018-07-19,四",58.36,59.3,58.35,58.71,1.56%,1.64%,"70,369,903","4,143,173,500",0.65,73209
"2018-07-20,五",58.6,61.61,58.23,60.84,3.63%,5.76%,"106,935,078","6,433,573,500",0.987,109939
"2018-07-23,一",60.35,61.6,60.25,61.08,0.39%,2.22%,"80,457,337","4,898,411,200",0.743,72053
"2018-07-24,二",61.06,63,61.03,61.74,1.08%,3.23%,"83,684,707","5,207,884,900",0.773,99203
"2018-07-25,三",62.23,62.24,61.4,62.16,0.68%,1.36%,"40,900,624","2,529,701,200",0.378,44633
"2018-07-26,四",62.28,62.48,60.68,60.8,-2.19%,2.90%,"48,259,331","2,960,086,700",0.445,61436
"2018-07-27,五",60.98,61.33,60.57,60.87,0.12%,1.25%,"33,417,159","2,037,644,600",0.308,36163
"2018-07-30,一",60.9,61.92,60.75,61.56,1.13%,1.92%,"37,637,018","2,303,730,900",0.347,46564
"2018-07-31,二",61.6,61.89,60.82,61.6,0.06%,1.74%,"26,069,859","1,600,697,200",0.241,37646
"2018-08-01,三",61.8,62.41,59.62,59.7,-3.08%,4.53%,"56,343,432","3,440,050,600",0.52,69875
"2018-08-02,四",59.41,59.49,57.8,58.26,-2.41%,2.83%,"64,680,428","3,782,255,900",0.597,72664
"2018-08-03,五",58.43,58.76,57.78,57.82,-0.76%,1.68%,"36,208,330","2,109,021,400",0.334,43956
"2018-08-06,一",57.81,58.86,57.36,57.83,0.02%,2.59%,"41,978,566","2,438,442,800",0.388,42548
"2018-08-07,二",58.11,59.6,57.96,59.56,2.99%,2.84%,"56,186,121","3,306,492,600",0.519,62727
"2018-08-08,三",59.55,59.7,58.19,58.38,-1.98%,2.54%,"41,210,911","2,426,952,900",0.38,44018
"2018-08-09,四",58.38,60.99,58.18,60.62,3.84%,4.81%,"63,543,307","3,820,214,600",0.587,71954
"2018-08-10,五",60.56,60.96,59.83,60.44,-0.30%,1.86%,"34,904,151","2,108,590,700",0.322,47597
"2018-08-13,一",59.8,59.85,58.66,59.55,-1.47%,1.97%,"45,464,948","2,692,879,800",0.42,54143
"2018-08-14,二",59.56,59.72,58.58,59.05,-0.84%,1.91%,"30,874,067","1,824,184,800",0.285,39132
"2018-08-15,三",59.03,59.05,56.67,57.03,-3.42%,4.03%,"61,374,792","3,531,927,700",0.567,84573
"2018-08-16,四",56.38,57.95,55.88,56.98,-0.09%,3.63%,"47,507,498","2,710,351,700",0.439,62604
"2018-08-17,五",57.7,57.82,56.46,56.58,-0.70%,2.39%,"35,136,005","2,009,697,400",0.324,45142
"2018-08-20,一",56.94,57.82,56.76,57.81,2.17%,1.87%,"46,214,266","2,653,996,200",0.427,53157
"2018-08-21,二",57.86,59.65,57.86,59.42,2.78%,3.10%,"63,665,064","3,768,112,500",0.588,71012
"2018-08-22,三",61.28,61.5,60.37,60.93,2.54%,1.90%,"104,185,714","6,355,540,700",0.962,106721
"2018-08-23,四",61.01,62.38,61.01,62.13,1.97%,2.25%,"75,611,130","4,682,981,900",0.698,89254
"2018-08-24,五",61.7,63.33,61.5,62.47,0.55%,2.95%,"57,263,151","3,574,475,300",0.529,69519
"2018-08-27,一",63.08,63.68,62.72,63.47,1.60%,1.54%,"58,579,343","3,706,028,600",0.541,66557
"2018-08-28,二",63.8,63.84,62.6,62.9,-0.90%,1.95%,"42,494,421","2,683,512,100",0.392,56157
"2018-08-29,三",62.68,63.3,62.65,63.01,0.17%,1.03%,"27,892,679","1,757,300,900",0.257,39157
"2018-08-30,四",63.5,64.05,63.02,63.16,0.24%,1.63%,"45,849,633","2,916,938,000",0.423,57686
"2018-08-31,五",62.4,63.43,62.2,62.98,-0.28%,1.95%,"52,111,400","3,273,908,700",0.481,57173
"2018-09-03,一",62.6,63,62.11,62.73,-0.40%,1.41%,"32,379,059","2,027,395,400",0.299,42098
"2018-09-04,二",62.85,64.93,62.54,64.8,3.30%,3.81%,"65,837,878","4,208,358,200",0.608,71108
"2018-09-05,三",64.41,64.64,62.8,62.8,-3.09%,2.84%,"50,743,718","3,235,414,300",0.468,64530
"2018-09-06,四",62.1,62.52,61.01,61.32,-2.36%,2.40%,"45,742,629","2,827,435,700",0.422,59572
"2018-09-07,五",61.88,63.5,61.6,62.78,2.38%,3.10%,"49,471,165","3,105,514,600",0.457,59440
"2018-09-10,一",62.6,62.87,61.6,62.03,-1.19%,2.02%,"32,339,001","2,008,532,800",0.299,37087
"2018-09-11,二",62,62.58,61.25,61.68,-0.56%,2.14%,"34,707,057","2,147,831,300",0.32,43514
"2018-09-12,三",61.31,61.46,60.28,60.6,-1.75%,1.91%,"43,546,028","2,644,081,400",0.402,54226
"2018-09-13,四",61.78,62.4,61.01,62.4,2.97%,2.29%,"53,884,697","3,328,513,200",0.497,60911
"2018-09-14,五",62.57,63.76,62.42,63.3,1.44%,2.15%,"55,837,041","3,529,776,700",0.515,66510
"2018-09-17,一",62.3,63.18,62.25,62.51,-1.25%,1.47%,"26,959,587","1,686,602,300",0.249,38033
"2018-09-18,二",62.15,64.3,62.1,64.12,2.58%,3.52%,"63,556,933","4,033,820,500",0.587,67463
"2018-09-19,三",64.09,65.8,63.81,65.15,1.61%,3.10%,"83,470,507","5,411,874,500",0.771,82656
"2018-09-20,四",65.2,65.56,64.61,64.8,-0.54%,1.46%,"41,892,378","2,721,332,700",0.387,51174
"2018-09-21,五",65.28,67.5,64.97,67.49,4.15%,3.90%,"81,043,109","5,386,807,300",0.748,88911
"2018-09-25,二",66.9,67.73,66.48,67.19,-0.44%,1.85%,"57,810,389","3,878,568,200",0.534,60088
"2018-09-26,三",67.23,69,66.83,67.96,1.15%,3.23%,"90,852,551","6,186,718,200",0.839,87077
"2018-09-27,四",67.73,67.75,66.86,67.2,-1.12%,1.31%,"62,357,433","4,190,581,100",0.576,75304
"2018-09-28,五",67.5,69.1,67.44,68.5,1.93%,2.47%,"73,952,387","5,052,835,900",0.683,83836
"2018-10-08,一",66.8,66.84,64.71,64.78,-5.43%,3.11%,"112,844,471","7,402,497,500",1.04,123289
"2018-10-09,二",64.63,65.38,64.33,65,0.34%,1.62%,"48,631,908","3,155,728,000",0.449,56602
"2018-10-10,三",65.09,65.58,64.2,64.65,-0.54%,2.12%,"58,279,902","3,780,647,700",0.538,63207
"2018-10-11,四",62.1,63.2,61.38,61.85,-4.33%,2.82%,"114,532,745","7,141,404,100",1.06,119209
"2018-10-12,五",62.5,64.25,62.3,63.87,3.27%,3.15%,"77,461,671","4,901,391,100",0.715,91337
"2018-10-15,一",63.9,64.44,63.09,63.2,-1.05%,2.11%,"53,974,326","3,437,483,900",0.498,62775
"2018-10-16,二",63.35,65.18,63.33,64,1.27%,2.93%,"58,403,499","3,761,333,700",0.539,70918
"2018-10-17,三",65.17,65.32,62.41,64.16,0.25%,4.55%,"76,140,192","4,861,851,800",0.703,78756
"2018-10-18,四",63.49,63.52,62.25,62.45,-2.67%,1.98%,"60,301,984","3,788,520,100",0.557,80648
"2018-10-19,五",61.99,66.1,61.88,65.62,5.08%,6.76%,"113,881,516","7,314,843,200",1.05,118930
"2018-10-22,一",66.01,69.42,65.62,67.93,3.52%,5.79%,"161,688,170","10,961,620,300",1.49,146547
"2018-10-23,二",68,68.32,64.88,65.51,-3.56%,5.06%,"117,213,446","7,814,653,800",1.08,130220
"2018-10-24,三",65.78,67.85,65.56,66.25,1.13%,3.50%,"81,063,205","5,398,315,000",0.748,96492
"2018-10-25,四",64.2,66.66,64.2,66.66,0.62%,3.71%,"73,620,253","4,816,111,100",0.68,79655
"2018-10-26,五",66.3,66.77,64.38,65.54,-1.68%,3.59%,"79,741,104","5,212,552,000",0.736,95122
"2018-10-29,一",65.87,65.99,61.9,62,-5.40%,6.24%,"121,641,942","7,666,491,200",1.12,142617
"2018-10-30,二",60,64.63,59.5,62.8,1.29%,8.27%,"126,920,829","7,969,650,400",1.17,138452
"2018-10-31,三",63.01,63.95,62.16,63.63,1.32%,2.85%,"78,283,525","4,948,893,000",0.723,88589
"2018-11-01,四",64.22,65.5,64.08,64.3,1.05%,2.23%,"68,987,109","4,463,737,100",0.637,82676
"2018-11-02,五",66.92,67.35,65.55,67.35,4.74%,2.80%,"117,394,937","7,821,171,800",1.08,128112
"2018-11-05,一",66.5,67.05,65.7,66.58,-1.14%,2.00%,"54,713,186","3,634,382,500",0.505,65268
"2018-11-06,二",66.2,66.8,65.8,66.8,0.33%,1.50%,"38,508,185","2,553,280,700",0.355,47828
"2018-11-07,三",66.89,67.34,65.9,66.12,-1.02%,2.16%,"51,065,843","3,393,066,400",0.471,65927
"2018-11-08,四",66.93,67.17,66,66.3,0.27%,1.77%,"50,494,617","3,364,558,900",0.466,59645
"2018-11-09,五",65.75,65.98,64.38,64.62,-2.53%,2.41%,"54,468,970","3,544,347,600",0.503,70188
"2018-11-12,一",64.4,65.14,63.75,64.66,0.06%,2.15%,"45,851,164","2,956,910,300",0.423,59702
"2018-11-13,二",63.78,65.57,63.5,65.01,0.54%,3.20%,"52,099,795","3,362,080,700",0.481,64585
"2018-11-14,三",65.05,65.09,63.6,63.95,-1.63%,2.29%,"57,381,407","3,680,152,400",0.53,80236
"2018-11-15,四",64,65.14,63.77,65.1,1.80%,2.14%,"50,057,986","3,231,462,700",0.462,66923
"2018-11-16,五",65,66.39,64.69,65.25,0.23%,2.61%,"61,987,908","4,063,786,100",0.572,70068
"2018-11-19,一",65.25,66.2,64.8,65.72,0.72%,2.15%,"50,762,891","3,324,370,800",0.469,66068
"2018-11-20,二",65,65.44,63.91,64.1,-2.47%,2.33%,"59,176,258","3,810,974,200",0.546,78930
"2018-11-21,三",63.53,64.14,63.53,64.01,-0.14%,0.95%,"38,524,931","2,459,066,000",0.356,48091
"2018-11-22,四",64.18,64.2,62.82,63.14,-1.36%,2.16%,"44,368,353","2,803,339,500",0.41,67222
"2018-11-23,五",63.15,63.59,62.52,62.64,-0.79%,1.69%,"37,233,517","2,339,115,000",0.344,55036
"2018-11-26,一",63,63.87,62.8,63.2,0.89%,1.71%,"36,998,907","2,340,406,500",0.342,46602
"2018-11-27,二",63.31,63.88,62.91,63.11,-0.14%,1.53%,"37,559,684","2,377,828,900",0.347,43217
"2018-11-28,三",63.12,63.96,63.01,63.77,1.05%,1.51%,"41,169,032","2,616,356,300",0.38,45327
"2018-11-29,四",64.3,64.38,63,63.05,-1.13%,2.16%,"38,665,389","2,460,470,900",0.357,45830
"2018-11-30,五",63.06,63.65,62.9,63.49,0.70%,1.19%,"34,917,109","2,212,885,700",0.322,37651
"2018-12-03,一",65.2,66.05,64.77,64.99,2.36%,2.02%,"112,194,302","7,325,910,500",1.04,103604
"2018-12-04,二",64.95,65.08,64.16,64.89,-0.15%,1.42%,"56,247,314","3,640,115,200",0.519,57958
"2018-12-05,三",64.05,64.6,63.98,64.25,-0.99%,0.96%,"45,020,712","2,892,939,000",0.416,43544
"2018-12-06,四",63.66,63.88,62.89,63,-1.95%,1.54%,"58,586,513","3,710,782,000",0.541,71170
"2018-12-07,五",63.32,63.53,62.98,63,0.00%,0.87%,"27,029,717","1,709,048,600",0.25,32218
"2018-12-10,一",62.5,62.68,61.82,62.18,-1.30%,1.37%,"49,465,059","3,075,386,900",0.457,61993
"2018-12-11,二",62.18,62.57,61.82,62.17,-0.02%,1.21%,"41,994,888","2,605,529,200",0.388,47095
"2018-12-12,三",62.8,62.83,62.04,62.46,0.47%,1.27%,"38,739,232","2,415,069,200",0.358,41524
"2018-12-13,四",62.7,63.5,62.4,63.2,1.18%,1.76%,"78,275,417","4,938,706,600",0.723,75233
"2018-12-14,五",62.9,62.94,61.73,61.94,-1.99%,1.91%,"75,075,554","4,664,205,100",0.693,90292
"2018-12-17,一",61.87,62.26,61.03,61.27,-1.08%,1.99%,"71,213,138","4,372,511,200",0.657,75084
"2018-12-18,二",60.9,61.68,60.47,60.85,-0.69%,1.97%,"53,230,206","3,244,689,400",0.491,68885
"2018-12-19,三",61,61.26,59.88,60.12,-1.20%,2.27%,"51,553,816","3,118,190,800",0.476,71392
"2018-12-20,四",59.95,60.18,58.58,59,-1.86%,2.66%,"80,695,579","4,779,472,500",0.745,103830
"2018-12-21,五",58.75,58.85,57.45,58.34,-1.12%,2.37%,"73,912,789","4,287,044,800",0.682,96407
"2018-12-24,一",58,58.3,57.75,58.25,-0.15%,0.94%,"35,874,842","2,084,473,000",0.331,43943
"2018-12-25,二",57.54,58.78,56.88,58.21,-0.07%,3.26%,"66,463,319","3,837,466,600",0.614,80950
"2018-12-26,三",58.17,58.25,57.2,57.3,-1.56%,1.80%,"39,782,133","2,293,584,100",0.367,55929
"2018-12-27,四",58.28,58.38,56.9,56.9,-0.70%,2.58%,"75,189,050","4,329,636,500",0.694,79410
"2018-12-28,五",57,57.23,56.1,56.1,-1.41%,1.99%,"91,498,805","5,177,718,200",0.845,102960
"2019-01-02,三",56.04,56.18,54.94,55.18,-1.64%,2.21%,"82,554,243","4,573,024,800",0.762,99146
"2019-01-03,四",55.15,56.33,55.06,55.68,0.91%,2.30%,"69,271,124","3,864,646,500",0.639,75734
"2019-01-04,五",55.28,57,55.23,56.59,1.63%,3.18%,"112,985,585","6,376,773,600",1.04,99966
"2019-01-07,一",57.09,57.17,55.9,56.3,-0.51%,2.24%,"76,593,007","4,326,151,600",0.707,77714
"2019-01-08,二",56.05,56.09,55.2,55.8,-0.89%,1.58%,"55,992,092","3,116,381,600",0.517,71742
"2019-01-09,三",56.2,57.6,55.96,56.95,2.06%,2.94%,"81,914,613","4,673,997,800",0.756,98307
"2019-01-10,四",56.87,57.82,56.55,57.5,0.97%,2.23%,"67,328,223","3,858,446,800",0.622,74077
"2019-01-11,五",58,58.29,57.5,58.07,0.99%,1.37%,"45,756,973","2,650,921,500",0.422,60619
"2019-01-14,一",57.74,57.95,56.9,57.12,-1.64%,1.81%,"47,532,651","2,723,611,900",0.439,60119
"2019-01-15,二",57.26,58.69,57.06,58.59,2.57%,2.85%,"58,626,487","3,413,728,300",0.541,81311
"2019-01-16,三",58.42,58.96,58.01,58.74,0.26%,1.62%,"40,411,183","2,368,178,500",0.373,52535
"2019-01-17,四",59.05,59.8,58.56,58.73,-0.02%,2.11%,"53,505,039","3,168,128,900",0.494,71723
"2019-01-18,五",59.23,60.02,58.69,59.92,2.03%,2.26%,"56,175,665","3,350,801,500",0.519,67825
"2019-01-21,一",59.93,61.11,59.85,60.79,1.45%,2.10%,"55,984,277","3,395,168,900",0.517,66500
"2019-01-22,二",60.6,60.64,59.74,60.07,-1.18%,1.48%,"41,950,761","2,524,729,500",0.387,50712
"2019-01-23,三",59.82,60.4,59.45,59.49,-0.97%,1.58%,"37,493,263","2,243,882,400",0.346,43533
"2019-01-24,四",59.61,60.52,59.22,60.43,1.58%,2.19%,"44,940,618","2,694,967,100",0.415,50472
"2019-01-25,五",60.5,61.78,60.43,61.29,1.42%,2.23%,"67,245,911","4,129,885,300",0.621,72518
"2019-01-28,一",61.8,62.41,61.2,61.52,0.38%,1.97%,"58,164,884","3,603,129,800",0.537,57156
"2019-01-29,二",61.38,61.9,60.98,61.65,0.21%,1.50%,"39,519,294","2,428,493,700",0.365,51074
"2019-01-30,三",60.88,61.86,60.78,61.25,-0.65%,1.75%,"31,000,323","1,904,411,100",0.286,35794
"2019-01-31,四",61.8,63.19,61.55,62.98,2.82%,2.68%,"69,226,532","4,336,690,700",0.639,76209
"2019-02-01,五",63.5,63.78,62.85,63.21,0.37%,1.48%,"43,792,470","2,771,784,000",0.404,50228
"2019-02-11,一",62.88,64.51,62.88,64.39,1.87%,2.58%,"54,181,551","3,456,061,500",0.5,60543
"2019-02-12,二",64.4,64.42,63.69,64.27,-0.19%,1.13%,"38,519,306","2,468,628,200",0.356,54840
"2019-02-13,三",64.66,65.4,64.03,65.02,1.17%,2.13%,"57,865,813","3,743,367,700",0.534,66856
"2019-02-14,四",64.88,65.4,64.78,65.1,0.12%,0.95%,"39,620,277","2,577,578,400",0.366,51326
"2019-02-15,五",64.8,65.01,63.22,63.25,-2.84%,2.75%,"53,401,148","3,418,044,700",0.493,76947
"2019-02-18,一",63.9,65.42,63.78,65.29,3.23%,2.59%,"72,136,106","4,677,674,800",0.666,79674
"2019-02-19,二",65.58,67.27,65.28,65.68,0.60%,3.05%,"78,595,146","5,198,252,100",0.726,97934
"2019-02-20,三",66.3,66.38,65.19,65.88,0.30%,1.81%,"39,350,882","2,592,496,400",0.363,48164
"2019-02-21,四",65.8,66.68,65.09,65.39,-0.74%,2.41%,"54,369,401","3,588,406,900",0.502,66630
"2019-02-22,五",65.36,67.07,64.8,67.02,2.49%,3.47%,"76,221,888","5,022,163,600",0.704,82155
"2019-02-25,一",68.22,73,68.14,73,8.92%,7.25%,"222,238,240","15,601,216,000",2.05,205476
"2019-02-26,二",71.71,72.6,69.92,70.01,-4.10%,3.67%,"155,563,880","11,039,492,200",1.44,162631
"2019-02-27,三",70.3,71.43,68.99,69.98,-0.04%,3.49%,"101,766,358","7,169,557,300",0.939,106975
"2019-02-28,四",69.98,70.95,69.41,70.01,0.04%,2.20%,"59,888,970","4,212,441,300",0.553,69667
"2019-03-01,五",70.69,72.6,70.25,72.39,3.40%,3.36%,"92,075,183","6,586,194,400",0.85,104336
"2019-03-04,一",73,75.1,72.21,72.58,0.26%,3.99%,"126,327,504","9,279,004,200",1.17,134178
"2019-03-05,二",72.48,72.74,71.57,72.07,-0.70%,1.61%,"65,968,035","4,759,711,100",0.609,78401
"2019-03-06,三",72.39,72.48,71.11,72.16,0.12%,1.90%,"78,465,361","5,640,683,400",0.724,91533
"2019-03-07,四",72.15,72.15,70,70.29,-2.59%,2.98%,"101,347,308","7,171,432,200",0.936,120181
"2019-03-08,五",68.66,70.2,68.25,68.7,-2.26%,2.77%,"91,325,604","6,295,287,200",0.843,104182
"2019-03-11,一",68.8,69.69,68.22,68.79,0.13%,2.14%,"75,185,765","5,173,828,900",0.694,90086
"2019-03-12,二",69.6,70.92,68.96,69.25,0.67%,2.85%,"96,921,901","6,776,280,900",0.895,106743
"2019-03-13,三",71.38,72.1,70.27,71.54,3.31%,2.64%,"140,546,410","10,026,174,500",1.3,152270
"2019-03-14,四",71.77,73.2,71.7,72.8,1.76%,2.10%,"105,597,033","7,670,039,200",0.975,125591
"2019-03-15,五",73.1,75.5,73.08,73.85,1.44%,3.32%,"125,524,638","9,342,867,700",1.16,135784
"2019-03-18,一",74.43,75.34,73.45,75,1.56%,2.56%,"115,639,210","8,622,875,400",1.07,109406
"2019-03-19,二",75.73,76.85,74.96,75.35,0.47%,2.52%,"101,209,656","7,669,753,000",0.934,111328
"2019-03-20,三",75.06,77.48,74.75,76.55,1.59%,3.62%,"107,843,910","8,223,832,000",0.996,119083
"2019-03-21,四",77,77.25,75.6,75.8,-0.98%,2.16%,"84,625,878","6,432,258,600",0.781,94672
"2019-03-22,五",75.76,76.26,74.06,74.72,-1.42%,2.90%,"77,200,428","5,793,146,000",0.713,98385
"2019-03-25,一",73.41,73.99,72.18,72.29,-3.25%,2.42%,"99,105,240","7,240,888,400",0.915,119360
"2019-03-26,二",72.99,73.23,72.15,72.69,0.55%,1.49%,"63,447,472","4,610,495,800",0.586,75343
"2019-03-27,三",73.2,74.63,72.7,74.22,2.10%,2.66%,"75,981,776","5,612,313,500",0.701,89620
"2019-03-28,四",73.4,73.94,72.88,73.4,-1.10%,1.43%,"48,420,875","3,553,347,600",0.447,61102
"2019-03-29,五",74.1,77.1,74.1,77.1,5.04%,4.09%,"142,935,530","10,870,048,900",1.32,150560
"2019-04-01,一",78,79.23,77.5,78.6,1.95%,2.24%,"116,811,347","9,182,647,700",1.08,110986
"2019-04-02,二",78.54,79,78.05,78.96,0.46%,1.21%,"77,117,540","6,059,549,100",0.712,79884
"2019-04-03,三",78.48,80.15,78.37,79.86,1.14%,2.25%,"76,021,980","6,045,909,500",0.702,82570
"2019-04-04,四",80.08,80.96,79.25,80.2,0.43%,2.14%,"79,562,603","6,378,852,700",0.734,91517
"2019-04-08,一",80.7,82.25,80.02,80.59,0.49%,2.78%,"91,612,230","7,448,621,200",0.846,103333
"2019-04-09,二",80.4,82,80.37,81.1,0.63%,2.02%,"60,173,789","4,887,104,100",0.555,69496
"2019-04-10,三",80.8,82.11,79.66,82.03,1.15%,3.02%,"78,362,038","6,347,140,300",0.723,80529
"2019-04-11,四",82.65,83.62,80.16,80.71,-1.61%,4.22%,"75,662,885","6,180,144,000",0.698,84004
"2019-04-12,五",80.35,81.16,79.9,80.44,-0.33%,1.56%,"52,677,940","4,235,942,800",0.486,63355
"2019-04-15,一",82.23,83.88,81.6,81.66,1.52%,2.83%,"98,995,302","8,203,396,900",0.914,103009
"2019-04-16,二",81.22,85.13,80.9,85.01,4.10%,5.18%,"103,622,277","8,642,148,100",0.957,112350
"2019-04-17,三",84.92,85.35,83.8,84.48,-0.62%,1.82%,"63,191,560","5,350,101,200",0.583,73196
"2019-04-18,四",84.69,85.02,83.88,84.3,-0.21%,1.35%,"39,728,704","3,354,513,800",0.367,46046
"2019-04-19,五",85.27,87,84.2,87,3.20%,3.32%,"78,913,196","6,768,190,600",0.728,85012
"2019-04-22,一",87.22,88.09,84.5,84.96,-2.34%,4.13%,"93,211,520","8,032,960,500",0.86,123246
"2019-04-23,二",84.75,87.38,84.5,86.06,1.29%,3.39%,"67,811,637","5,833,032,600",0.626,83303
"2019-04-24,三",86.08,86.88,83.55,85.03,-1.20%,3.87%,"81,285,189","6,916,666,400",0.75,103850
"2019-04-25,四",84.35,84.99,83.15,83.4,-1.92%,2.16%,"65,576,928","5,505,578,200",0.605,91092
"2019-04-26,五",83,84.43,82.8,83.11,-0.35%,1.95%,"64,895,907","5,424,636,700",0.599,77583
"2019-04-29,一",83.88,87.13,83.3,86.43,3.99%,4.61%,"94,657,603","8,097,224,900",0.874,116553
"2019-04-30,二",86.5,87.48,84.53,86.1,-0.38%,3.41%,"91,790,202","7,894,165,600",0.847,109195
